Year,temperature,co2,tt,cc,ca
1960,-0.03,316.91,-5.41,7.59,-42.05746032
1961,0.06,317.64,-5.34,6.678,-41.32746032
1962,0.03,318.45,-5.39,5.846,-40.51746032
1963,0.05,318.99,-5.39,4.744,-39.97746032
1964,-0.2,319.62,-5.66,3.732,-39.34746032
1965,-0.11,320.04,-5.59,2.51,-38.92746032
1966,-0.06,321.37,-5.56,2.198,-37.59746032
1967,-0.02,322.18,-5.54,1.366,-36.78746032
1968,-0.08,323.05,-5.62,0.594,-35.91746032
1969,0.05,324.62,-5.51,0.522,-34.34746032
1970,0.03,325.68,-5.55,-0.06,-33.28746032
1971,-0.08,326.32,-5.68,-1.062,-32.64746032
1972,0.01,327.46,-5.61,-1.564,-31.50746032
1973,0.16,329.68,-5.48,-0.986,-29.28746032
1974,-0.07,330.19,-5.73,-2.118,-28.77746032
1975,-0.01,331.13,-5.69,-2.82,-27.83746032
1976,-0.1,332.03,-5.8,-3.562,-26.93746032
1977,0.18,333.84,-5.54,-3.394,-25.12746032
1978,0.07,335.42,-5.67,-3.456,-23.54746032
1979,0.16,336.84,-5.6,-3.678,-22.12746032
1980,0.26,338.76,-5.52,-3.4,-20.20746032
1981,0.32,340.12,-5.48,-3.682,-18.84746032
1982,0.14,341.48,-5.68,-3.964,-17.48746032
1983,0.31,343.15,-5.53,-3.936,-15.81746032
1984,0.16,344.87,-5.7,-3.858,-14.09746032
1985,0.12,346.35,-5.76,-4.02,-12.61746032
1986,0.18,347.61,-5.72,-4.402,-11.35746032
1987,0.32,349.31,-5.6,-4.344,-9.657460317
1988,0.39,351.69,-5.55,-3.606,-7.277460317
1989,0.27,353.21,-5.69,-3.728,-5.757460317
1990,0.45,354.45,-5.53,-4.13,-4.517460317
1991,0.4,355.7,-5.6,-4.522,-3.267460317
1992,0.22,356.55,-5.8,-5.314,-2.417460317
1993,0.23,357.22,-5.81,-6.286,-1.747460317
1994,0.31,358.96,-5.75,-6.188,-0.007460317
1995,0.45,360.97,-5.63,-5.82,2.002539683
1996,0.33,362.74,-5.77,-5.692,3.772539683
1997,0.46,363.88,-5.66,-6.194,4.912539683
1998,0.61,366.84,-5.53,-4.876,7.872539683
1999,0.38,368.54,-5.78,-4.818,9.572539683
2000,0.39,369.71,-5.79,-5.29,10.74253968
2001,0.54,371.32,-5.66,-5.322,12.35253968
2002,0.63,373.45,-5.59,-4.834,14.48253968
2003,0.62,375.98,-5.62,-3.946,17.01253968
2004,0.53,377.7,-5.73,-3.868,18.73253968
2005,0.67,379.98,-5.61,-3.23,21.01253968
2006,0.63,382.09,-5.67,-2.762,23.12253968
2007,0.66,384.03,-5.66,-2.464,25.06253968
2008,0.54,385.83,-5.8,-2.306,26.86253968
2009,0.65,387.64,-5.71,-2.138,28.67253968
2010,0.72,390.1,-5.66,-1.32,31.13253968
2011,0.61,391.85,-5.79,-1.212,32.88253968
2012,0.65,394.06,-5.77,-0.644,35.09253968
2013,0.67,396.74,-5.77,0.394,37.77253968
2014,0.74,398.81,-5.72,0.822,39.84253968
2015,0.9,401.01,-5.58,1.38,42.04253968
2016,1.01,404.41,-5.49,3.138,45.44253968
2017,0.92,406.76,-5.6,3.846,47.79253968
2018,0.84,408.72,-5.7,4.164,49.75253968
2019,0.98,411.65,-5.58,5.452,52.68253968
2020,1.02,414.24,-5.56,6.4,55.27253968
2021,0.85,416.45,-5.75,6.968,57.48253968
2022,0.89,418.56,-5.73,7.436,59.59253968
